,names,S1_0,S1_conf_0,ST_0,ST_conf_0,S1_1,S1_conf_1,ST_1,ST_conf_1,S1_2,S1_conf_2,ST_2,ST_conf_2,S1_3,S1_conf_3,ST_3,ST_conf_3,S1_4,S1_conf_4,ST_4,ST_conf_4,S1_5,S1_conf_5,ST_5,ST_conf_5,S1_6,S1_conf_6,ST_6,ST_conf_6,S1_7,S1_conf_7,ST_7,ST_conf_7,S1_8,S1_conf_8,ST_8,ST_conf_8,S1_9,S1_conf_9,ST_9,ST_conf_9,S1_10,S1_conf_10,ST_10,ST_conf_10,S1_11,S1_conf_11,ST_11,ST_conf_11,S1_12,S1_conf_12,ST_12,ST_conf_12,S1_13,S1_conf_13,ST_13,ST_conf_13,S1_14,S1_conf_14,ST_14,ST_conf_14,S1_15,S1_conf_15,ST_15,ST_conf_15,S1_16,S1_conf_16,ST_16,ST_conf_16,S1_17,S1_conf_17,ST_17,ST_conf_17,S1_18,S1_conf_18,ST_18,ST_conf_18,S1_19,S1_conf_19,ST_19,ST_conf_19,S1_20,S1_conf_20,ST_20,ST_conf_20,S1_21,S1_conf_21,ST_21,ST_conf_21,S1_22,S1_conf_22,ST_22,ST_conf_22,S1_23,S1_conf_23,ST_23,ST_conf_23
0,$\alpha_+^{165}$,0.10103077068909137,0.1566597628251909,0.762208948019405,0.615337008076063,0.044569128823793006,0.10262266296720805,0.7691338577675738,0.7523947957150191,0.013441458894807513,0.0621111656848074,0.7805201031136105,0.7786814304021411,0.00016466948647280444,0.03998109880917408,0.8096148610605395,1.27138002170787,0.0027723943112858062,0.008499200202682229,0.20836823471011648,0.4947930264675394,0.004821413546214994,0.012937221172071434,0.3421750223166594,0.6787017443364101,0.007953688461255097,0.026882060631769397,0.6357713909236404,1.4096900413275548,0.01260967967974541,0.04754129647703004,0.9121022802703932,1.9936804995262865,0.12876357725377327,0.2369945157022481,0.6336690673437393,0.7577247580586541,0.20112125110309362,0.3405081069181709,0.9124479986129647,0.9429932031063704,0.27566599461317504,0.4994534895591692,1.1145741020677016,1.3398845261575079,0.37101690445307894,0.6475843656263766,1.3309227001389687,1.4434377583462328,0.002772394296784516,0.0075474242801204785,0.20836823471011684,0.4976554706834157,0.004821413530883272,0.015835758602625833,0.34217502231665997,0.7562768949666714,0.007953688458374741,0.03259124984361218,0.635771390923641,1.6817939233995838,0.012609679694574742,0.04507106288358546,0.9121022802703924,1.9336370445036686,0.0,0.0,0.0,0.0,0.029847718288138304,0.4692104833786145,0.6363018868330635,0.687528548703185,0.010512745236318146,0.27259459700579186,0.9286375020424185,0.7214204066339918,-0.0015876649096060935,0.9554819174469024,4.3470541657080455,1064.3321335385913,0.002772394296998761,0.007729449840816276,0.2083682347101417,0.5093310007395933,0.0048214135316983755,0.013842456838509785,0.34217502231669333,0.7865868428738075,0.007953688458487798,0.02325043177521399,0.63577139092369,1.232109564286124,0.012609679686979926,0.04023209326932014,0.9121022802704466,1.9322655578439873
1,$\alpha_-^{165}$,-0.0049331979727598755,0.009251960593419092,0.03202910012356609,0.03703379167057059,-0.004137888874714208,0.0065456083501323325,0.025250474678649572,0.03138108551682168,-0.0035023871236985766,0.006229858412646772,0.019956415296888907,0.02463567838529223,-0.002513128361386763,0.004823711643933526,0.016948969730780552,0.025539376210535106,-0.00017140329115998508,0.0012441295447197809,0.0142617029380163,0.03792953970153319,-0.00032548913381026277,0.0019196143774174342,0.012505028965151162,0.032494216370518796,-0.0006401671384910771,0.003543268539678378,0.015462354388693453,0.03006732055654935,-0.0011671885054251856,0.0061090833786871844,0.019152163075697698,0.028206303087138198,0.021556974112076317,0.02698665245682657,0.02410924370550997,0.031302594842136156,0.007423785436297152,0.008538321183509704,0.023100969166296514,0.02651507053141156,0.0031793442237643666,0.004071548342371202,0.020275191191377693,0.025652568133899753,0.0013760223531812464,0.0019597350065042552,0.018509112114080073,0.026450044725935866,-0.00017140329063562585,0.0014015300591775804,0.014261702938016329,0.042248415329352106,-0.0003254891349672485,0.0021612776670901983,0.012505028965151184,0.02875303330508907,-0.0006401671432246342,0.0040612123813636445,0.015462354388693447,0.027260916258318064,-0.0011671885151864842,0.005846737927864293,0.019152163075697698,0.029143102269167775,0.0,0.0,0.0,0.0,-0.0046784445033230945,0.016382176791671022,0.07528895865932354,0.08874940545643906,-0.0009935459655308029,0.006095543492899467,0.11199235230413371,0.10396258970331622,0.0006334828925030805,0.0022833899453284104,0.16763886209438364,0.157529469153911,-0.00017140329065719174,0.001369391637905941,0.014261702938018038,0.043253834754749254,-0.00032548913518568696,0.0018711304424133088,0.012505028965152402,0.032092157415054695,-0.0006401671432917523,0.0029146133247656358,0.015462354388694645,0.026014402244291683,-0.0011671885150104145,0.004979900011097444,0.019152163075698826,0.023399262473302405
2,$\beta_+^{165}$,-0.0029952228557460704,0.03477511044090668,0.3937148353101091,0.37227193175392675,0.001433498097578288,0.02031608343434932,0.45962900303312587,0.5148077401104479,0.004352445125626279,0.01744330429140308,0.5138395982193016,0.5702559732527183,0.007452069632019256,0.0267083757519836,0.598094075208655,0.8902601666213659,-0.019685653053720602,0.11586170779992284,52.38009846351026,284.78184904199566,-0.015501375474998717,0.06500988177445105,33.71331662369845,122.50612511354133,-0.012076582813382926,0.08097727861932096,24.312338854952053,128.30527071987424,-0.008851956947908817,0.043330828988811194,18.63061565024258,61.34764024673434,-0.024652667486782125,0.10407912542984339,0.3938263774538516,0.6544962826739023,-0.012817325242105663,0.0462206878051742,0.5567785852946808,0.7595110848076826,-0.006942125843271836,0.025403030448760255,0.610658312735365,0.7901535071255684,-0.004028463278937134,0.01663514364818447,0.6420259399948656,0.8575931935385857,-0.019685652917423906,0.13566340618705666,52.38009846351033,328.9391246230746,-0.015501375286230966,0.10859877070032065,33.7133166236985,204.5111349900766,-0.012076582584174402,0.07068625674274423,24.312338854952074,112.38220415547431,-0.008851956660873265,0.0608468269554751,18.630615650242557,86.88657727860466,0.0,0.0,0.0,0.0,0.01589928456575476,0.06075089650059826,0.6254818043122187,0.6875171553269172,0.004319159389053665,0.04874399561741426,0.9239709340345889,0.8020652641776554,-1.9050803629521136e-05,0.015577535875682561,0.11361112121004183,0.3260597009586481,-0.01968565291443585,0.12775053379145354,52.38009846351658,311.4984447887505,-0.015501375287496328,0.14925940212314312,33.71331662370179,278.8331572699856,-0.012076582588403315,0.07178438028152531,24.312338854953946,113.58705403846405,-0.008851956669834536,0.046080974570526366,18.63061565024366,65.8427189683475
3,$\beta_-^{165}$,-0.0035537265934367387,0.010212671162197713,0.011718842269215135,0.013055856437553501,0.002150185663934941,0.00531585598502111,0.004600388640759049,0.005953575336108098,0.0160307866562286,0.033086972433214554,0.05443376331075369,0.07980318977903968,0.03385049404728078,0.07394506966409421,0.26627588784572975,0.5311879524183644,0.000750440800224591,0.0018622731298263131,0.01567835507883895,0.04042606114293897,0.0006468328472570868,0.0016219958344763242,0.01101541290779029,0.028476776819934733,0.0005020817734963679,0.0014881121030890722,0.0071924333476774205,0.02109147961587284,0.0003564930935777666,0.0008221863374450355,0.004402898130034794,0.009850145543283303,-0.0036247095516351753,0.024606173235057757,0.02082386534729665,0.03423249558346061,0.0005965538603940724,0.002221899925993055,0.0016831383327288675,0.001935274778229457,0.0006116572902159419,0.0035637815438077864,0.01925384554488275,0.021247477656805305,0.00032466989639699486,0.004493963327361561,0.10157194007918073,0.1177209347420765,0.0007504407947924155,0.00198942285062824,0.01567835507883899,0.043871281800754926,0.0006468328394878823,0.0015150351946025815,0.011015412907790297,0.025610345929732835,0.0005020817647190975,0.0012357987369102598,0.0071924333476774275,0.01770019751482566,0.0003564930840351808,0.0011219117759086502,0.0044028981300347925,0.01397430170548305,0.0,0.0,0.0,0.0,0.0010227055545733777,0.020191725727596598,0.0016746758119644313,0.01401062634549233,0.00033957039918683997,0.00951226288429691,0.0021392446342855184,0.018088312620929307,1.1145045976566056e-05,0.008124630602656991,3.250410326448517e-05,0.008280957396685162,0.000750440794938303,0.0018658797293968049,0.015678355078840855,0.04088921979001964,0.0006468328396936204,0.001658189272692705,0.011015412907791372,0.028694655080621793,0.0005020817649468046,0.0011258302691772022,0.00719243334767798,0.016636921634195355,0.00035649308430341217,0.0010330581646811024,0.004402898130035056,0.011779951245629246
4,$\alpha_+^{121}$,2.5727740109826375e-06,9.652399051398383e-06,2.547308445267039e-08,5.582832864853742e-08,1.8748414257677988e-07,2.6111039512910874e-06,9.557469879023593e-09,1.9469070879833146e-08,5.112569004788467e-09,1.4308232768379306e-06,5.782715289987816e-09,1.1350889768567292e-08,-1.7581977369400611e-07,7.473086924461745e-07,1.6289243818627684e-09,6.0804121374642345e-09,0.0028746060371155767,0.006896333656649696,0.2157396235271127,0.4863671455355428,0.0025206887884216675,0.006144169633284695,0.23700729915233767,0.4215610574725647,0.0015343098549717737,0.00802953419239426,0.3052927026970273,0.43788191735527165,-1.9871566762362814e-05,0.01329910004712536,0.40149382613349766,0.4740379993601697,-5.81565147079645e-07,1.847143053366525e-06,6.499636224078861e-11,2.0886009143008214e-10,-1.0779982413795907e-07,2.984718869204757e-07,1.8425582088642733e-11,5.191466404431779e-11,-1.5621249340723058e-08,3.5894769709963674e-08,1.559449477240948e-12,3.747101385358445e-12,6.861322631543658e-10,1.971048729476338e-09,1.1689050063294603e-14,3.457107635641305e-14,0.0028746060152987467,0.0066621936297434625,0.2157396235271131,0.48624326619359337,0.0025206887468270274,0.005859292423898371,0.23700729915233798,0.43724180961800063,0.0015343097916552869,0.009618081194917414,0.3052927026970274,0.43796653866118584,-1.987166000110581e-05,0.012372722575157608,0.4014938261334974,0.47619112226755417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002874606015650393,0.006802665810177715,0.21573962352713885,0.504120294921766,0.0025206887477438743,0.006327917766505853,0.2370072991523611,0.4656472758494862,0.0015343097931957426,0.006673801461507655,0.305292702697051,0.40810748555525006,-1.987165739296734e-05,0.01165490361777777,0.40149382613352114,0.4643401035837142
5,$\alpha_-^{121}$,-4.47281144861621e-05,0.0001015102068853759,2.4847586543436375e-06,6.268347194182947e-06,-5.5039355330536544e-06,1.2555364336480543e-05,1.4711359303910553e-07,3.5887417988470813e-07,-1.1462617792884974e-06,2.3635444777669555e-06,1.228776609394495e-08,2.4109389509426462e-08,-1.1668266892581872e-07,7.276410893894822e-07,1.5677741217769771e-09,5.847831983256145e-09,-2.6753591582094424e-05,7.820774301244502e-05,5.304005900147362e-05,0.00015056746066723347,-4.555474201604035e-05,0.00018554254273653125,0.00019505332703860135,0.0005223142726310481,-1.5967517159654397e-05,0.0002769577479667207,0.000505922038390498,0.0015346270341265917,4.2967350535373416e-05,0.00042913729556781285,0.0014836847646464016,0.004380612001112133,1.3141571034657964e-10,4.204883227696237e-10,3.3816413262765526e-18,1.086832705989325e-17,5.91566614681497e-11,1.6009091676464356e-10,5.280094030037216e-18,1.4852969574685247e-17,2.482274102273142e-11,5.1384868679653435e-11,3.019645552376684e-18,6.939125783212352e-18,8.38655958668897e-12,2.4886529584258195e-11,1.7426189808907515e-18,5.331988403066944e-18,-2.675359139055838e-05,8.301123752419287e-05,5.304005900147327e-05,0.00014117424652608835,-4.555474147660349e-05,0.00019086147082504149,0.00019505332703860178,0.0005997977940511662,-1.5967516888612283e-05,0.0002135768723919124,0.0005059220383904985,0.0012249825720169456,4.2967349497509875e-05,0.00039075811406412116,0.0014836847646464016,0.004258530697224549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.6753591268848213e-05,9.431201444813781e-05,5.304005900147955e-05,0.0001557422413931268,-4.555474138718864e-05,0.00018461906303727341,0.0001950533270386212,0.0005716022730777342,-1.596751681587982e-05,0.00024363373712999942,0.0005059220383905374,0.0011590568628818366,4.2967349587126984e-05,0.0004507465182208792,0.0014836847646464888,0.004411200818717327
6,$\beta_+^{121}$,2.6994381755617917e-06,9.899899857917889e-06,2.668952346547541e-08,5.913382113796592e-08,-7.011909224753811e-05,0.00018106155870856874,3.459043939340939e-05,9.236190416462524e-05,-2.6157995386964616e-05,6.492958381375472e-05,1.0659283294980569e-05,2.750468209778068e-05,-1.0964123210529538e-05,4.545069583438781e-05,3.508969270086475e-06,1.4989935887834681e-05,0.005886445819774802,0.02218303410480226,0.3058371714905026,0.895366804903459,0.0082322351754591,0.024996818807319795,0.511659748794931,1.4348198845537237,0.00937832979358364,0.03358178053565123,0.5134483523589449,1.7050516558787525,0.010856579518560974,0.043456891014870734,0.3565369820186371,1.2719279986274183,1.7792481212980333e-07,5.733644691347373e-07,6.3115142966297314e-12,2.0285047423072322e-11,4.435506907023884e-08,1.256813666889192e-07,3.2805952953733402e-12,9.246223168442268e-12,1.1296933614208647e-08,2.75187691111125e-08,9.315380400224687e-13,2.2447084387743658e-12,1.6084718054556597e-09,4.9549144870482305e-09,7.556773667269232e-14,2.2338938386231992e-13,0.005886445815799729,0.018967704457755863,0.3058371714905031,0.8099605951753966,0.008232235175618073,0.03210345111298069,0.5116597487949317,1.8583749316657237,0.009378329801679644,0.04131886457377028,0.5134483523589453,2.1012814831180453,0.010856579534670766,0.040333825184192984,0.35653698201863676,1.2053220272098943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005886445816818497,0.021899825314009923,0.30583717149053957,0.9087902260156944,0.00823223517649481,0.02461441219725151,0.5116597487949816,1.4231331148092545,0.009378329802233163,0.02848122029091423,0.5134483523589849,1.4784007224700877,0.010856579534825607,0.03410198796768629,0.35653698201865797,1.0169680829792282
7,$\beta_-^{121}$,3.817504551907564e-06,9.400255339068838e-06,2.1827783904766047e-08,5.719880656701367e-08,9.057395185722379e-07,2.2340430508916663e-06,5.08446396805266e-09,1.3466255861876933e-08,4.4941705110581936e-07,1.0323303988920468e-06,2.6058239207774746e-09,6.583582210098285e-09,7.352756052888304e-08,3.180175806036977e-07,1.5937751148138925e-10,5.447391482831698e-10,1.1065983037813144e-06,0.0001581078184675277,0.00019482085378155263,0.0005766956597552607,1.9121513396496415e-06,0.0003534362460489831,0.0006461872790129,0.0015114878265201713,0.0001916312137671658,0.0011014752206100582,0.001946986658876227,0.004770894907940741,0.0011089902505672503,0.004451479037190286,0.011361127173912121,0.021723912645590576,-1.7995276807772238e-08,5.417067458743591e-08,5.424317886957634e-14,1.731901958317116e-13,-7.465523823661195e-09,2.0152532632981757e-08,8.363431413077784e-14,2.3520249995400436e-13,-2.474425880283099e-09,5.6894753651571945e-09,3.9187710048379385e-14,9.416983120873732e-14,-5.08962527059933e-10,1.5707661290840305e-09,7.598396109535223e-15,2.2458643742612443e-14,1.1065982356107397e-06,0.0001613891218950826,0.00019482085378155444,0.0006353069733757732,1.9121520715724583e-06,0.00042583793078088735,0.0006461872790129014,0.0019121256985643546,0.00019163121591282714,0.0013290253582608756,0.0019469866588762272,0.005572220560986336,0.0011089902546368726,0.004229559538123743,0.011361127173912125,0.0204577038364136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1065982202244824e-06,0.000175279736489339,0.0001948208537815775,0.0006589431849124795,1.9121518161428887e-06,0.00035325549404823593,0.0006461872790129645,0.0017342404881355747,0.00019163121568698593,0.0010147148595718444,0.0019469866588763779,0.006817748205808982,0.0011089902544352851,0.004117979317353418,0.011361127173912786,0.024971357148039806
